Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
BASE,1.1073E-05,6.6155E-15,0.0071471,0,0,0,5.8831,0.0074244,2.1682E-07,-1.32E-17,0.025474,-2.8392E-18,0.03067,0,0,0,0,0,0,package://el_mini/meshes/BASE.STL,0.2,0.2,0.3,1,0,0,0,0,0,0,package://el_mini/meshes/BASE.STL,,机身下-1;机身上-1;复件 零件15^整机-1;复件 零件15^整机-2;复件 零件18^整机-1;复件 零件18^整机-2;复件 零件18^整机-3;复件 零件18^整机-4,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RF_HIP,-0.0038191,-0.10391,-0.030304,0,0,0,0.70658,0.0019818,-8.8448E-06,-3.3117E-06,0.0005484,-0.00038258,0.001489,0,0,0,0,0,0,package://el_mini/meshes/RF_HIP.STL,0.2,0.2,0.3,1,0,0,0,0,0,0,package://el_mini/meshes/RF_HIP.STL,,摆杆右-1,RF0,基准轴1,RF_HAA,revolute,0.3,-0.08,0.011,0,0,0,BASE,0,0,1,33.5,21,-3.14,3.14,,,,,,,,
RF_THIGH,0.095511,-0.00012596,-0.015064,0,0,0,0.42258,0.00024126,6.0383E-07,-1.9749E-05,0.0011022,3.1816E-07,0.0013223,0,0,0,0,0,0,package://el_mini/meshes/RF_THIGH.STL,0.2,0.2,0.3,1,0,0,0,0,0,0,package://el_mini/meshes/RF_THIGH.STL,,大腿右-1,RF1,基准轴7,RF_HFE,revolute,0.0355,-0.14999,-0.045056,3.1416,-1.5708,0,RF_HIP,0,0,1,33.5,21,-3.14,3.14,,,,,,,,
RF_SHANK,7.6639E-09,-0.07024,-0.0092367,0,0,0,0.28149,0.00033586,1.849E-12,5.4319E-11,7.3968E-05,3.3272E-07,0.00037586,0,0,0,0,0,0,package://el_mini/meshes/RF_SHANK.STL,0.2,0.2,0.3,1,0,0,0,0,0,0,package://el_mini/meshes/RF_SHANK.STL,,小腿-1,RF2,基准轴13,RF_KFE,revolute,0.13,0,0,3.1416,0,1.5708,RF_THIGH,0,0,1,33.5,21,-3.14,3.14,,,,,,,,
RF_FOOT,-4.885E-15,-0.0070918,-8.8818E-16,0,0,0,0.019013,3.9638E-06,6.3734E-22,-5.7221E-38,5.729E-06,1.5048E-38,3.9638E-06,0,0,0,0,0,0,package://el_mini/meshes/RF_FOOT.STL,0,0,0,1,0,0,0,0,0,0,package://el_mini/meshes/RF_FOOT.STL,,足端-1,RFF,Axis_RF_FIX,RF_FIX,fixed,0,-0.232000000000001,-0.0179999999999972,0,0,0,RF_SHANK,0,0,0,,,,,,,,,,,,
RM_HIP,-0.0038191,-0.10391,-0.030304,0,0,0,0.70658,0.0019818,-8.8448E-06,-3.3117E-06,0.0005484,-0.00038258,0.001489,0,0,0,0,0,0,package://el_mini/meshes/RM_HIP.STL,0.2,0.2,0.3,1,0,0,0,0,0,0,package://el_mini/meshes/RM_HIP.STL,,摆杆右-3,RM0,基准轴2,RM_HAA,revolute,0,-0.14,0.011,0,0,0,BASE,0,0,1,33.5,21,-3.14,3.14,,,,,,,,
RM_THIGH,0.095511,-0.00012596,-0.015064,0,0,0,0.42258,0.00024126,6.0383E-07,-1.9749E-05,0.0011022,3.1816E-07,0.0013223,0,0,0,0,0,0,package://el_mini/meshes/RM_THIGH.STL,0.2,0.2,0.3,1,0,0,0,0,0,0,package://el_mini/meshes/RM_THIGH.STL,,大腿右-3,RM1,基准轴8,RM_HFE,revolute,0.0355,-0.14999,-0.045056,3.1416,-1.5708,0,RM_HIP,0,0,1,33.5,21,-3.14,3.14,,,,,,,,
RM_SHANK,7.6639E-09,-0.07024,-0.0092367,0,0,0,0.28149,0.00033586,1.849E-12,5.4319E-11,7.3968E-05,3.3272E-07,0.00037586,0,0,0,0,0,0,package://el_mini/meshes/RM_SHANK.STL,0.2,0.2,0.3,1,0,0,0,0,0,0,package://el_mini/meshes/RM_SHANK.STL,,小腿-4,RM2,基准轴14,RM_KFE,revolute,0.13,0,0,3.1416,0,1.5708,RM_THIGH,0,0,1,33.5,21,-3.14,3.14,,,,,,,,
RM_FOOT,-4.885E-15,-0.0070918,-8.1879E-16,0,0,0,0.019013,3.9638E-06,6.3734E-22,-5.7221E-38,5.729E-06,1.5048E-38,3.9638E-06,0,0,0,0,0,0,package://el_mini/meshes/RM_FOOT.STL,0,0,0,1,0,0,0,0,0,0,package://el_mini/meshes/RM_FOOT.STL,,足端-2,RMF,,RM_FIX,fixed,0,-0.232,-0.018,0,0,0,RM_SHANK,0,0,0,,,,,,,,,,,,
RB_HIP,0.0038191,-0.10391,-0.030304,0,0,0,0.70658,0.0019818,8.8454E-06,3.3111E-06,0.0005484,-0.00038258,0.001489,0,0,0,0,0,0,package://el_mini/meshes/RB_HIP.STL,0.2,0.2,0.3,1,0,0,0,0,0,0,package://el_mini/meshes/RB_HIP.STL,,摆杆左-3,RB0,基准轴3,RB_HAA,revolute,-0.3,-0.08,0.011,0,0,0,BASE,0,0,1,33.5,21,-3.14,3.14,,,,,,,,
RB_THIGH,0.095511,-0.00012559,0.015064,0,0,0,0.42258,0.00024126,6.07E-07,1.9749E-05,0.0011022,-3.1733E-07,0.0013223,0,0,0,0,0,0,package://el_mini/meshes/RB_THIGH.STL,0.2,0.2,0.3,1,0,0,0,0,0,0,package://el_mini/meshes/RB_THIGH.STL,,大腿左-3,RB1,基准轴9,RB_HFE,revolute,-0.0355,-0.14999,-0.045056,3.1416,-1.5708,0,RB_HIP,0,0,1,33.5,21,-3.14,3.14,,,,,,,,
RB_SHANK,-7.6639E-09,-0.07024,0.0092367,0,0,0,0.28149,0.00033586,-1.849E-12,5.4319E-11,7.3968E-05,-3.3272E-07,0.00037586,0,0,0,0,0,0,package://el_mini/meshes/RB_SHANK.STL,0.2,0.2,0.3,1,0,0,0,0,0,0,package://el_mini/meshes/RB_SHANK.STL,,小腿-6,RB2,基准轴15,RB_KFE,revolute,0.13,0,0,3.1416,0,1.5708,RB_THIGH,0,0,1,33.5,21,-3.14,3.14,,,,,,,,
RB_FOOT,-6.4948E-15,-0.0070918,-9.992E-16,0,0,0,0.019013,3.9638E-06,6.3734E-22,-5.7221E-38,5.729E-06,1.5048E-38,3.9638E-06,0,0,0,0,0,0,package://el_mini/meshes/RB_FOOT.STL,0,0,0,1,0,0,0,0,0,0,package://el_mini/meshes/RB_FOOT.STL,,足端-3,RBF,Axis_RB_FIX,RB_FIX,fixed,0,-0.232000000000003,0.0180000000000001,0,0,0,RB_SHANK,0,0,0,,,,,,,,,,,,
LF_HIP,-0.0038191,-0.10391,0.030304,0,0,0,0.70658,0.0019818,-8.8454E-06,3.3111E-06,0.0005484,0.00038258,0.001489,0,0,0,0,0,0,package://el_mini/meshes/LF_HIP.STL,0.2,0.2,0.3,1,0,0,0,0,0,0,package://el_mini/meshes/LF_HIP.STL,,摆杆左-1,LF0,基准轴4,LF_HAA,revolute,0.3,0.08,0.011,-3.1416,0,0,BASE,0,0,1,33.5,21,-3.14,3.14,,,,,,,,
LF_THIGH,0.095511,-0.00012559,0.015064,0,0,0,0.42258,0.00024126,6.07E-07,1.9749E-05,0.0011022,-3.1733E-07,0.0013223,0,0,0,0,0,0,package://el_mini/meshes/LF_THIGH.STL,0.2,0.2,0.3,1,0,0,0,0,0,0,package://el_mini/meshes/LF_THIGH.STL,,大腿左-1,LF1,基准轴10,LF_HFE,revolute,0.0355,-0.14999,0.045056,3.1416,1.5708,0,LF_HIP,0,0,1,33.5,21,-3.14,3.14,,,,,,,,
LF_SHANK,-7.6639E-09,-0.07024,0.0092367,0,0,0,0.28149,0.00033586,-1.849E-12,5.4319E-11,7.3968E-05,-3.3272E-07,0.00037586,0,0,0,0,0,0,package://el_mini/meshes/LF_SHANK.STL,0.2,0.2,0.3,1,0,0,0,0,0,0,package://el_mini/meshes/LF_SHANK.STL,,小腿-2,LF2,基准轴16,LF_KFE,revolute,0.13,0,0,-3.1416,0,1.5708,LF_THIGH,0,0,1,33.5,21,-3.14,3.14,,,,,,,,
